127.0.0.1, 2017-03-06 11:05:18, GET, /OptimizerAPI/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.355000
127.0.0.1, 2017-03-06 11:05:18, GET, /OptimizerAPI/static/js/calendar.js, HTTP/1.1, 200, 0.339000
127.0.0.1, 2017-03-06 11:05:18, GET, /OptimizerAPI/static/js/web2py.js, HTTP/1.1, 200, 0.300000
127.0.0.1, 2017-03-06 11:05:19, GET, /OptimizerAPI/static/js/share.js, HTTP/1.1, 200, 0.279000
127.0.0.1, 2017-03-06 11:05:19, GET, /OptimizerAPI/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.315000
127.0.0.1, 2017-03-06 11:05:19, GET, /OptimizerAPI/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.294000
127.0.0.1, 2017-03-06 11:05:19, GET, /OptimizerAPI/static/images/background.jpg, HTTP/1.1, 200, 0.207000
127.0.0.1, 2017-03-06 11:05:19, GET, /OptimizerAPI/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.216000
127.0.0.1, 2017-03-06 11:05:19, GET, /OptimizerAPI/static/images/twitter.png, HTTP/1.1, 200, 0.235000
127.0.0.1, 2017-03-06 11:05:19, GET, /OptimizerAPI/static/images/facebook.png, HTTP/1.1, 200, 0.237000
127.0.0.1, 2017-03-06 11:05:19, GET, /OptimizerAPI/static/images/gplus-32.png, HTTP/1.1, 200, 0.234000
127.0.0.1, 2017-03-06 11:05:19, GET, /OptimizerAPI/static/images/favicon.ico, HTTP/1.1, 200, 0.019000
127.0.0.1, 2017-03-06 11:05:35, GET, /OptimizerAPI/default/index.xml, HTTP/1.1, 200, 0.151000
127.0.0.1, 2017-03-06 11:05:35, GET, /favicon.ico, HTTP/1.1, 404, 0.011000
127.0.0.1, 2017-03-06 11:06:45, GET, /admin/default/index.xml, HTTP/1.1, 404, 0.080000
127.0.0.1, 2017-03-06 11:06:50, GET, /web2pyadmin/default/index.xml, HTTP/1.1, 404, 0.280000
127.0.0.1, 2017-03-06 11:07:02, GET, /Web2pyAdmin/default/index.xml, HTTP/1.1, 404, 0.637000
127.0.0.1, 2017-03-06 11:07:13, GET, /Web2pyAdmin, HTTP/1.1, 200, 0.232000
127.0.0.1, 2017-03-06 11:07:13, GET, /Web2pyAdmin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2017-03-06 11:07:13, GET, /Web2pyAdmin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2017-03-06 11:07:13, GET, /Web2pyAdmin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2017-03-06 11:07:13, GET, /Web2pyAdmin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.014000
127.0.0.1, 2017-03-06 11:07:13, GET, /Web2pyAdmin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.013000
127.0.0.1, 2017-03-06 11:07:13, GET, /Web2pyAdmin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.014000
127.0.0.1, 2017-03-06 11:07:13, GET, /Web2pyAdmin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.034000
127.0.0.1, 2017-03-06 11:07:13, GET, /Web2pyAdmin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.035000
127.0.0.1, 2017-03-06 11:07:13, GET, /Web2pyAdmin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.033000
127.0.0.1, 2017-03-06 11:07:13, GET, /Web2pyAdmin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.033000
127.0.0.1, 2017-03-06 11:07:13, GET, /Web2pyAdmin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2017-03-06 11:07:13, GET, /Web2pyAdmin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2017-03-06 11:07:13, GET, /Web2pyAdmin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.072000
127.0.0.1, 2017-03-06 11:07:13, GET, /Web2pyAdmin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.018000
127.0.0.1, 2017-03-06 11:07:17, POST, /Web2pyAdmin, HTTP/1.1, 303, 0.229000
127.0.0.1, 2017-03-06 11:07:17, GET, /Web2pyAdmin/site, HTTP/1.1, 200, 0.215000
127.0.0.1, 2017-03-06 11:07:18, GET, /Web2pyAdmin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.007000
127.0.0.1, 2017-03-06 11:07:18, GET, /Web2pyAdmin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-03-06 11:07:18, GET, /Web2pyAdmin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.012000
127.0.0.1, 2017-03-06 11:07:18, POST, /Web2pyAdmin/check_version, HTTP/1.1, 200, 0.680000
127.0.0.1, 2017-03-06 11:07:24, GET, /, HTTP/1.1, 200, 0.175000
127.0.0.1, 2017-03-06 11:08:08, GET, /Web2pyAdmin/site, HTTP/1.1, 200, 0.305000
127.0.0.1, 2017-03-06 11:08:08, GET, /Web2pyAdmin/static/_2.14.6/js/calendar.js, HTTP/1.1, 304, 0.016000
127.0.0.1, 2017-03-06 11:08:08, GET, /Web2pyAdmin/static/_2.14.6/js/web2py.js, HTTP/1.1, 304, 0.016000
127.0.0.1, 2017-03-06 11:08:08, GET, /Web2pyAdmin/static/_2.14.6/js/jquery.js, HTTP/1.1, 304, 0.045000
127.0.0.1, 2017-03-06 11:08:08, GET, /Web2pyAdmin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.013000
127.0.0.1, 2017-03-06 11:08:08, GET, /Web2pyAdmin/static/_2.14.6/css/calendar.css, HTTP/1.1, 304, 0.018000
127.0.0.1, 2017-03-06 11:08:08, GET, /Web2pyAdmin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.014000
127.0.0.1, 2017-03-06 11:08:08, GET, /Web2pyAdmin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.021000
127.0.0.1, 2017-03-06 11:08:08, GET, /Web2pyAdmin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 304, 0.019000
127.0.0.1, 2017-03-06 11:08:08, GET, /Web2pyAdmin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.028000
127.0.0.1, 2017-03-06 11:08:08, GET, /Web2pyAdmin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 304, 0.018000
127.0.0.1, 2017-03-06 11:08:08, GET, /Web2pyAdmin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.017000
127.0.0.1, 2017-03-06 11:08:08, GET, /Web2pyAdmin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.018000
127.0.0.1, 2017-03-06 11:08:08, GET, /Web2pyAdmin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 304, 0.064000
127.0.0.1, 2017-03-06 11:08:08, GET, /Web2pyAdmin/static/_2.14.6/images/questions.png, HTTP/1.1, 304, 0.155000
127.0.0.1, 2017-03-06 11:08:08, GET, /Web2pyAdmin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 304, 0.126000
127.0.0.1, 2017-03-06 11:08:08, GET, /Web2pyAdmin/static/_2.14.6/images/folder.png, HTTP/1.1, 304, 0.130000
127.0.0.1, 2017-03-06 11:08:09, GET, /Web2pyAdmin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.201000
127.0.0.1, 2017-03-06 11:08:18, GET, /Web2pyAdmin/design/OptimizerWebView, HTTP/1.1, 200, 1.174000
127.0.0.1, 2017-03-06 11:08:18, GET, /Web2pyAdmin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.029000
127.0.0.1, 2017-03-06 11:08:18, GET, /Web2pyAdmin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.115000
127.0.0.1, 2017-03-06 11:08:18, GET, /Web2pyAdmin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.114000
127.0.0.1, 2017-03-06 11:10:00, GET, /, HTTP/1.1, 200, 0.327000
127.0.0.1, 2017-03-06 11:15:13, GET, /Web2pyAdmin, HTTP/1.1, 303, 0.268000
127.0.0.1, 2017-03-06 11:15:14, GET, /Web2pyAdmin/site, HTTP/1.1, 200, 0.757000
127.0.0.1, 2017-03-06 11:50:55, GET, /Web2pyAdmin/site, HTTP/1.1, 200, 0.655000
127.0.0.1, 2017-03-06 11:51:08, GET, /, HTTP/1.1, 200, 0.427000
127.0.0.1, 2017-03-06 11:51:08, GET, /AjaxSpreadsheet/default/bob, HTTP/1.1, 404, 0.192000
127.0.0.1, 2017-03-06 11:51:12, GET, /AjaxSpreadsheet/default, HTTP/1.1, 404, 0.095000
127.0.0.1, 2017-03-06 12:11:08, GET, /, HTTP/1.1, 200, 7.072000
127.0.0.1, 2017-03-06 12:11:30, GET, /AjaxSpreadsheet/default/bob, HTTP/1.1, 404, 0.144000
